tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36406,7744,8758025,145375,2017-08-01 16:23:56+00:00
892177421306343426,31348,5736,8758025,145376,2017-08-01 00:17:27+00:00
891815181378084864,23624,3797,8758025,145376,2017-07-31 00:18:03+00:00
891689557279858688,39695,7901,8758025,145376,2017-07-30 15:58:51+00:00
891327558926688256,37898,8535,8758025,145376,2017-07-29 16:00:24+00:00
891087950875897856,19083,2853,8758025,145376,2017-07-29 00:08:17+00:00
890971913173991426,11114,1862,8758025,145376,2017-07-28 16:27:12+00:00
890729181411237888,61354,17281,8758025,145376,2017-07-28 00:22:40+00:00
890609185150312448,26283,3936,8758025,145376,2017-07-27 16:25:51+00:00
890240255349198849,30015,6739,8758025,145376,2017-07-26 15:59:51+00:00
890006608113172480,28905,6729,8758025,145376,2017-07-26 00:31:25+00:00
889880896479866881,26264,4575,8758025,145376,2017-07-25 16:11:53+00:00
889665388333682689,45278,9170,8758025,145376,2017-07-25 01:55:32+00:00
889638837579907072,25476,4121,8758025,145376,2017-07-25 00:10:02+00:00
889531135344209921,14249,2067,8758025,145376,2017-07-24 17:02:04+00:00
889278841981685760,23734,4893,8758025,145376,2017-07-24 00:19:32+00:00
888917238123831296,27429,4131,8758025,145376,2017-07-23 00:22:39+00:00
888804989199671297,24088,3896,8758025,145376,2017-07-22 16:56:37+00:00
888554962724278272,18619,3195,8758025,145376,2017-07-22 00:23:06+00:00
888078434458587136,20505,3174,8758025,145376,2017-07-20 16:49:33+00:00
887705289381826560,28471,4935,8758025,145376,2017-07-19 16:06:48+00:00
887517139158093824,43683,10788,8758025,145376,2017-07-19 03:39:09+00:00
887473957103951883,64825,16524,8758025,145376,2017-07-19 00:47:34+00:00
887343217045368832,31701,9603,8758025,145376,2017-07-18 16:08:03+00:00
887101392804085760,28845,5461,8758025,145376,2017-07-18 00:07:08+00:00
886983233522544640,32953,7042,8758025,145376,2017-07-17 16:17:36+00:00
886736880519319552,11300,2947,8758025,145376,2017-07-16 23:58:41+00:00
886680336477933568,21161,4092,8758025,145376,2017-07-16 20:14:00+00:00
886366144734445568,19944,2906,8758025,145376,2017-07-15 23:25:31+00:00
